358_cause_recode,count
3,1
6,26
7,4
8,4
10,7498
11,2759
13,411
14,126
16,1
17,1
18,6
20,15
21,5
22,100
23,35694
24,1774
27,3
28,20
29,11
30,1
31,2
33,12
35,17
38,4
39,2
41,39
42,186
43,133
45,2
46,1
47,7716
49,3558
50,739
51,1061
52,1725
53,2361
54,1012
56,1059
58,4
60,3
61,124
62,18
64,2
65,25
66,45
67,315
68,1075
72,57
73,1975
74,3169
75,2735
77,13922
78,11208
79,1195
81,42238
82,9388
83,818
85,14993
86,4400
87,3440
88,35663
89,1241
91,531
92,3633
93,158269
94,452
95,39
96,1388
98,9206
99,2934
101,2608
102,42
103,5048
104,41116
106,1345
107,3916
108,7723
109,14449
110,405
111,10
113,28115
114,376
115,280
117,13006
118,14211
119,745
120,279
122,13968
123,221
124,2409
125,39556
127,1254
129,20421
130,69
131,321
132,10786
134,6494
135,10900
136,134
137,5125
139,8
140,23
142,37
143,802
144,482
145,12338
146,937
149,294
150,802
151,914
152,2687
153,2662
154,832
155,1475
158,1725
159,68776
160,171
161,306
162,7
163,498
166,48
167,2635
168,170
169,5436
171,500
172,5828
173,12011
175,94581
176,1580
178,6021
179,2149
180,368
181,627
182,127
183,502
184,365
186,651
187,713
188,20569
189,79018
190,3688
191,1554
192,137
193,1539
194,26367
195,43
196,59
199,39
201,1525
202,94
203,721
204,860
206,16419
207,33254
208,9344
209,2874
211,125700
212,4007
214,57291
215,200067
218,7049
219,6168
221,1170
222,851
224,2285
225,14717
226,5164
227,23869
228,42905
230,51383
231,5052
232,680
233,12710
235,5512
236,27634
237,6502
238,68230
239,21159
241,7380
242,10635
243,8666
245,3056
246,1074
249,28
250,22
251,130
253,2928
255,281
256,3139
257,47431
259,235
260,38
261,476
264,358
265,281
266,10887
267,121534
268,3391
269,968
271,841
273,15951
274,4
275,88
276,670
277,1242
278,27912
280,300
282,1826
284,894
285,1127
286,910
287,34
288,286
289,612
290,426
291,1804
292,958
293,14358
294,2944
295,3904
296,1816
298,15224
299,78
300,15325
301,10683
302,3304
304,3457
305,1688
306,7614
308,1974
309,2047
311,2308
312,1164
313,4278
314,1224
315,1461
317,1284
318,1628
323,44
324,115
325,4845
326,1093
327,43862
328,349
329,93
330,10741
331,1371
333,446
334,177
335,65
337,134
338,239
341,20
342,3
344,1
345,10
347,46
348,29
350,42
351,70
352,236
353,37
354,275
355,191
357,2996
358,4559
359,21
360,340
361,597
362,988
363,857
364,2792
366,327
367,183
368,851
369,2619
370,588
371,424
372,2962
373,891
374,1080
376,5508
378,2226
379,15361
380,16929
384,372
386,2659
387,556
388,4340
391,127
392,2949
393,6172
394,124
395,2857
396,1128
397,15561
398,2
399,668
400,472
401,569
402,781
404,9822
405,3536
406,11497
407,555
408,84
409,3608
410,4376
411,1570
412,305
414,2777
415,68
416,31
417,20
418,46
420,28832
421,2292
422,734
423,9302
425,5053
426,265
427,1093
428,9041
429,18749
430,697
431,2108
433,87
434,546
435,11537
436,1883
437,81
438,54
440,221
441,2476
443,3142
444,141
445,72
446,232
447,68
448,1391
450,49
451,351
452,25
454,407
455,143
456,2073